time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2025-01-07 12:53:34.714 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,10, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,119851307008,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1736254414620,,, , , , , , , , , ,3145728,1377,10,10,4,10, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,10,43,212675872,2, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:54:34.726 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, ,127, , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119853248512,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197,4,7,3,7, , , ,27,27,2,27, ,3,28, , , , , , , , , , ,4096,2,9797,27, , , , , , ,7,32,360872064,2, , , , , , ,129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51, , ,25,26,25, , , , , , , , , 
2025-01-07 12:55:34.750 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119851003904,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,2,46,109230592,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:56:34.774 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119847141376,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,121813504,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:57:34.795 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119836315648,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,135444992,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:58:34.823 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119835947008,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,156416512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 12:59:34.836 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119843201024,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,177388032,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 13:00:34.852 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119838400512,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,199408128,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 13:01:34.867 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119832715264,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,213039616,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-07 13:02:34.878 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,119826620416,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1736254414620,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,232962560,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
